surface,disposition,page,section,evidence_ids,reason
REF-MM-CONFIG,mapped,target/mm-config.html,config,REF-MM-CONFIG,
REF-MM-DATA,mapped,target/mm-data.html,data,REF-MM-DATA,
REF-MM-CONVERT,mapped,target/mm-conversion.html,conversion,REF-MM-CONVERT,
REF-MM-TRAIN,mapped,target/mm-training.html,training,REF-MM-TRAIN,
REF-MM-NPU,mapped,target/mm-npu.html,npu,REF-MM-NPU,
REF-MM-CHECKPOINT,mapped,target/mm-checkpoint.html,checkpoint,REF-MM-CHECKPOINT,
REF-LLM-LAUNCH,mapped,target/llm-launch.html,launch,REF-LLM-LAUNCH,
REF-LLM-PARALLEL,mapped,target/llm-parallel.html,parallel,REF-LLM-PARALLEL,
REF-LLM-CHECKPOINT,mapped,target/llm-checkpoint.html,checkpoint,REF-LLM-CHECKPOINT,
REF-LLM-SCALE,mapped,target/llm-scale.html,scale,REF-LLM-SCALE,
REF-MOSS-PACKAGE,mapped,target/moss-package.html,package,REF-MOSS-PACKAGE,
REF-MOSS-MODEL,mapped,target/moss-model.html,model,REF-MOSS-MODEL,
REF-MOSS-TRAIN,mapped,target/moss-training.html,training,REF-MOSS-TRAIN,
REF-MAP-DATA,mapped,target/map-data.html,mapping,REF-MAP-DATA,
REF-MAP-CONVERSION,mapped,target/map-checkpoint.html,mapping,REF-MAP-CONVERSION,
REF-MAP-DISTRIBUTED,mapped,target/map-distributed.html,mapping,REF-MAP-DISTRIBUTED,
REF-MAP-CODEC,mapped,target/map-codec.html,mapping,REF-MAP-CODEC,
REF-MAP-HARDWARE,mapped,target/map-hardware.html,mapping,REF-MAP-HARDWARE,
